species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,46.33019524200766,18.47848026785185,200.0133181936458,6055.662317525629,male,2008
Gentoo,Biscoe,52.3427283480517,15.161495545472842,187.64884962113004,5944.106516309621,female,2007
Gentoo,Torgersen,39.228972319213725,15.255186802129257,189.91299840712446,3008.9091588671886,female,2009
Gentoo,Dream,48.87134201842675,19.63414567815447,195.063291096035,3894.2731668921715,male,2009
Gentoo,Dream,41.19146467095628,17.154307195793333,171.5196009242814,3600.101433838433,female,2009
Gentoo,Dream,51.70238411130122,20.379808230472623,196.10451730041814,3634.7667209299557,male,2009
Gentoo,Biscoe,48.39549236085762,14.424911922254706,209.72268608301033,4420.3803393440585,female,2009
Gentoo,Biscoe,48.07012214899437,11.270174342320622,199.36873846355897,4637.014799033266,female,2009
Gentoo,Biscoe,40.54149987439172,15.943733380838168,201.57093948566308,3127.5678893514882,female,2008
Gentoo,Biscoe,52.40618015901046,15.805139558041626,190.31286738577074,3490.7988082977977,male,2008
Adelie,Torgersen,37.79207611253766,21.68119104878857,203.4055980551239,4919.59568587302,male,2007
Gentoo,Biscoe,47.27754517159171,14.322466996841536,207.79162088303,4803.557364792327,female,2008
Gentoo,Biscoe,40.09028710831966,17.327269252102,217.05250286774637,5957.969222429374,male,2008
Gentoo,Biscoe,52.06507041173361,15.303861745226252,179.79130151523697,3675.6001548835125,male,2008
Adelie,Dream,52.098366441189846,21.118307594586238,186.4407255476367,4171.20058682737,male,2007
Gentoo,Biscoe,51.004737445384485,16.67944425732179,220.4871230904763,4613.099009859961,male,2007
Gentoo,Torgersen,29.367513965301168,18.23760587773806,176.48746626214086,3419.8056711053687,male,2008
Gentoo,Dream,43.74930466590858,20.47163280665905,189.2179805640772,4091.2889715656397,female,2009
Gentoo,Dream,40.154720059496775,19.180380398692417,173.5850679181293,4939.24233182169,female,2007
Adelie,Dream,56.855784751867986,19.33987199047051,182.9892238067186,3402.859487669521,male,2007
Gentoo,Biscoe,41.40698617309139,18.732451814393837,225.6628108277487,5871.239261313525,male,2007
Gentoo,Biscoe,54.609542811691625,17.88614752871217,213.3400544740486,5564.038258640168,male,2009
Gentoo,Biscoe,32.142624230133485,20.006194506638785,165.00036865426998,2972.2201438333223,male,2007
Chinstrap,Torgersen,35.99970944107298,17.616260917965825,187.37314047975514,4177.140296226885,female,2008
Gentoo,Biscoe,34.90025402227999,14.341136246875598,245.996259002574,4978.916024180488,male,2008
Adelie,Dream,29.8485014832206,21.245868093221247,190.01854557380912,4322.394631115605,male,2009
Chinstrap,Dream,52.858997578602136,17.574907409822075,191.51159239146241,3423.8563164175675,female,2007
Gentoo,Biscoe,47.160918126760244,16.214126084122206,201.67379886878024,5961.0802644815685,male,2008
Gentoo,Biscoe,60.71408397574062,9.267519002100979,218.5664106977865,4597.718771147249,female,2007
Chinstrap,Torgersen,44.88921669605597,20.656774693862907,199.68067750534152,4409.547855620803,female,2008
Gentoo,Biscoe,31.86075820610018,17.959106449272102,207.80367041495091,6080.421909500386,male,2009
Gentoo,Biscoe,28.89555555694323,17.923397538526736,166.09756139161746,3785.0465000792155,female,2007
Gentoo,Biscoe,35.39993816539675,17.680416261191006,196.6781081147648,2739.1201383591533,female,2009
Gentoo,Dream,47.53857052852041,17.0910786164218,211.79624685252486,4176.9631507710965,female,2007
Adelie,Dream,26.115119895452608,15.186297898126009,212.87993825351182,2340.4267058290325,female,2007
Gentoo,Biscoe,51.22394910644886,12.74827070322777,231.68528283806367,5664.626556865317,female,2009
Gentoo,Dream,59.9468011664566,20.649310291435853,169.195469429237,4809.344635456053,female,2009
Gentoo,Biscoe,40.07585673067647,17.41821199421765,173.4669110672362,4326.752327436581,male,2009
Gentoo,Dream,32.22204696298796,18.506949910607016,200.63277385616442,3469.151949709021,male,2008
Adelie,Biscoe,43.92427891520311,14.691498244366214,197.48130644483072,3421.8835357155112,female,2007
Gentoo,Biscoe,42.71095970454246,14.950507264210314,228.94459516666214,3359.824116621309,female,2009
Gentoo,Dream,42.400414918833526,23.417064508566405,212.6549405762784,4699.346039439903,male,2008
Gentoo,Dream,59.621469748633814,15.525445304572132,185.15846913170108,3632.0013753492563,female,2007
Gentoo,Dream,44.77585290019608,15.108003912545271,193.21957215625844,3232.619723975897,female,2009
Gentoo,Biscoe,53.136594972031446,17.473417859948327,232.05018968215813,5356.437001225647,male,2009
Gentoo,Biscoe,50.25533074656116,14.702344409842773,213.74360777992337,5707.364932158625,male,2008
Gentoo,Dream,44.39115669750488,17.557312297745806,202.903450528759,3716.8194326765456,male,2007
Gentoo,Biscoe,39.15035118355249,18.19713883799957,215.67802428836137,4851.384466813343,female,2008
Gentoo,Torgersen,35.173360417493996,18.277387288689336,183.50361430293717,1824.2291004883102,male,2009
Gentoo,Dream,48.39097771068118,14.933677351054584,187.4811815246209,4085.513985610405,female,2007
Gentoo,Dream,52.81654421174588,19.36729344576278,187.51723572408324,4572.552383501523,male,2007
Gentoo,Dream,38.88882413097947,18.80701446930605,192.2647139162632,3851.031882712484,female,2008
Adelie,Biscoe,42.82048536512894,15.570455695632983,207.98749380872096,4648.828570658797,female,2007
Gentoo,Biscoe,45.79548977300135,13.454565481130986,199.40589301519617,5387.259798169049,female,2009
Gentoo,Dream,41.01883505553884,19.50446105208608,189.6072757998461,3829.904219260833,male,2007
Gentoo,Biscoe,41.73381893574512,14.154754123044931,196.7940887171701,3933.207324139943,female,2008
Gentoo,Biscoe,46.45365600050952,16.848495757986086,191.1022773765697,2375.897031854418,female,2009
Chinstrap,Dream,46.52228163342648,18.240541300628642,210.97382558559494,3807.274347874562,female,2009
Gentoo,Biscoe,50.785890747272646,12.55184942486779,206.59473890810156,4796.91570752717,female,2009
Gentoo,Dream,34.816483824029326,17.7676087493086,201.42609032868157,4563.003940007794,male,2009
Gentoo,Biscoe,58.625021948078896,14.02258883298886,211.6275731589071,6513.261689198723,male,2007
Adelie,Biscoe,56.50622751043553,18.476221187979377,217.7904933140533,5641.875891985151,male,2009
Gentoo,Dream,36.7039275314378,16.92193295886396,179.84211530471003,2532.9549202516255,female,2009
Gentoo,Biscoe,38.76367906298578,20.29642258554994,184.48871613530574,3605.3146951723184,female,2009
Adelie,Biscoe,41.3469778364598,15.127543873994641,181.3139202318645,4402.365525349962,female,2008
Gentoo,Biscoe,42.4880844854896,15.94939063776399,216.0406067531202,3612.0304733015796,female,2008
Adelie,Biscoe,45.862971107497955,12.627292516321685,231.07426124862968,6353.804583194022,female,2009
Gentoo,Dream,59.396890557924266,21.71822829991321,209.2206995762788,2641.5528939557835,male,2007
Gentoo,Dream,34.6306224750106,15.909129471650951,176.09157252236565,3353.6467538386087,female,2009
Gentoo,Dream,58.06679731974688,20.722677460340257,188.28610477648175,4835.906693138229,male,2007
Gentoo,Biscoe,41.51702560493582,22.592930170398848,186.17493035015622,2861.0559190326485,male,2008
Gentoo,Biscoe,43.37758872510622,18.308803394520098,191.69149344406213,3639.903615690719,male,2009
Gentoo,Torgersen,41.7798091505191,17.986259269703353,205.69827385331044,3125.6971337252644,male,2009
Gentoo,Torgersen,37.40036226631428,21.50682278982859,169.17392352795494,4202.403717639643,female,2009
Gentoo,Dream,55.64308720366677,17.332246075985655,177.7438750443204,2450.0241606442755,female,2008
Gentoo,Dream,46.82294160925142,22.057755578385922,200.63109425827943,3812.2999156965757,male,2008
Gentoo,Biscoe,55.4833662535217,15.660956286869272,229.7360481018973,5354.455034041429,male,2009
Gentoo,Dream,46.01342879240566,18.29567712113007,197.8461727747717,5535.593586032961,male,2007
Gentoo,Biscoe,52.96492452575916,14.9110559601164,180.1468691804348,4009.8565053342095,female,2007
Adelie,Dream,45.84254341194989,20.60855677917864,211.09289385499457,3634.3458351699664,male,2009
Gentoo,Biscoe,50.19077558137366,11.309486133981208,198.2148123998902,3128.7668787945204,female,2007
Gentoo,Biscoe,48.62782642086625,11.899555278505972,203.18506357628138,5147.617554252761,male,2007
Gentoo,Biscoe,42.2511151384288,18.671171386769053,206.07442733415775,3373.7884502259567,female,2007
Gentoo,Biscoe,29.06388539499899,18.088960428035392,188.85311566856575,3386.5787160724863,male,2008
Gentoo,Dream,44.86101840284423,19.83022399215009,193.62389165949563,3096.43421068525,male,2007
Gentoo,Dream,37.018860441432565,16.086867220816327,219.61789049931474,1277.0234014484563,female,2008
Gentoo,Biscoe,45.33745705910495,19.36260235204902,235.70360219408082,5607.151658815341,male,2008
Adelie,Torgersen,46.067283476704866,16.97811544139768,187.99324571375115,4980.108735687071,female,2007
Gentoo,Biscoe,34.39264008713459,17.828647870950654,189.44761602682357,4349.732456121662,male,2008
Gentoo,Biscoe,47.0333229327247,19.13511229372239,190.52712058467458,3306.056245783472,male,2007
Gentoo,Biscoe,46.814420069532844,15.966234816708457,216.8732908288247,5135.569068138994,female,2008
Gentoo,Dream,46.76340186330321,11.821275567772865,158.99119255390764,4217.60299037788,female,2008
Chinstrap,Biscoe,46.56374609480515,14.974655587352716,208.06068346499148,4753.354194847198,female,2009
Gentoo,Biscoe,45.65294597161694,18.794383860443688,210.23828022591786,4798.846661871449,male,2008
Adelie,Biscoe,33.88482626629148,20.73024104585082,191.4803919054873,3004.603294500104,female,2009
Chinstrap,Dream,39.11887552628334,22.03138747594692,214.39766129199631,3830.1136707115165,male,2007
Chinstrap,Biscoe,31.897882596244575,16.186353109915174,195.47709034833392,2142.1549052478085,female,2008
Gentoo,Dream,41.711058697767065,20.232921850826408,228.39376239608356,4657.621732525077,male,2007
Chinstrap,Dream,47.323706969463494,16.881430698465085,163.19459539959382,3413.8190330313873,male,2007
Gentoo,Torgersen,41.70818854979701,15.163838182078944,185.29406041390394,3154.9814413368445,female,2007
