species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,39.64593891255871,24.82036280179042,175.59169288028698,3576.6057171257958,male,2007
Adelie,Torgersen,32.01782908313139,16.823057384960432,188.8660014656766,4110.466759641798,female,2007
Adelie,Torgersen,37.138236584653704,17.639662552638626,169.61017057328002,3529.9029784594873,female,2007
Adelie,Torgersen,40.086658735714565,19.798878962798646,183.33341091190476,3816.7469003475157,female,2007
Adelie,Torgersen,41.83220385751019,19.0635619790869,208.82314437389883,4423.446991097112,male,2007
Adelie,Torgersen,42.173928644187995,14.051774580221744,188.14481940772512,4810.973602374431,female,2007
Adelie,Torgersen,39.48546282936086,21.83380409769552,203.51006339095736,4895.1453671002255,male,2007
Adelie,Torgersen,48.22932992431672,15.7889496792247,191.9784545714588,2921.0583706034017,female,2007
Adelie,Torgersen,40.38471112061238,22.840569168573623,186.96114637729457,3029.7725508273556,male,2007
Adelie,Torgersen,36.46584680793524,22.52784439584022,220.3766868090085,4044.2716255221667,male,2007
Adelie,Torgersen,29.34922823209937,19.485953643827695,159.62288103911342,4900.964008762181,female,2007
Adelie,Torgersen,30.35742920178614,18.390229068950823,192.3049997638349,2015.7410284645755,female,2007
Adelie,Torgersen,39.43288295765758,18.135423254650718,216.6139367542255,4525.271884069181,male,2007
Chinstrap,Torgersen,25.3933270523114,16.862721722792543,181.29218061029442,2195.848702093527,female,2007
Adelie,Torgersen,48.978685209862476,23.28298812697911,169.57108065306298,4131.135139185741,male,2007
Adelie,Biscoe,31.942376116506125,17.833901183261258,172.34010542069737,3151.0564924301934,female,2007
Gentoo,Biscoe,41.256290330482244,15.783594233427479,160.50493013761206,3240.590921812193,male,2007
Adelie,Biscoe,31.821894461870556,20.450032179280203,203.87426541485127,2676.637128053778,female,2007
Adelie,Biscoe,39.11267934302597,17.816965183108074,171.80745250239136,4682.280628393468,male,2007
Gentoo,Biscoe,52.367371793587886,15.09772716473412,198.50023351683964,2532.5156784328747,male,2007
Adelie,Biscoe,29.278583845278913,22.65292880010568,203.7669445695662,4626.054132944304,female,2007
Adelie,Biscoe,40.92954534521693,19.690039724767022,195.1555704316975,4208.221536563682,male,2007
Adelie,Biscoe,44.70876153907463,16.874642683593848,200.15250830928636,2469.202120468163,female,2007
Adelie,Biscoe,35.9775471177366,20.00014170308285,136.47338315555504,2624.1375903488283,female,2007
Gentoo,Biscoe,35.034616521516995,18.309690828252137,199.13341024952345,3673.5832796876493,male,2007
Adelie,Dream,31.665991768315656,15.849472272502384,189.31558750171493,2765.7513204508873,female,2007
Adelie,Dream,37.48823201188596,19.933135832328723,167.64023324440032,3207.7471529266327,male,2007
Adelie,Dream,37.308287035380104,21.294194665030215,193.84425262056612,2970.524467765272,female,2007
Adelie,Dream,33.115602470564106,16.96031634084829,150.2103438544993,4052.3670679068623,male,2007
Adelie,Dream,28.510320552810818,19.580349540512564,179.38436002531412,753.4523755963141,female,2007
Adelie,Dream,36.395587911305434,21.010339454634316,206.29818508686793,4141.392780353497,male,2007
Adelie,Dream,37.48103420052344,18.628933809527712,192.26757937716496,3321.6705903477077,male,2007
Chinstrap,Dream,45.94209496926551,17.51813151344007,164.78984227878982,3081.169205179329,female,2007
Adelie,Dream,40.04906666597961,18.372422193340494,175.75253440968473,3181.573924515269,female,2007
Adelie,Dream,36.29204127730669,18.50817286263636,181.0511327156363,4686.387823702452,male,2007
Adelie,Dream,36.83648217249698,19.13608811700471,184.98862587051113,1655.4584591765383,female,2007
Adelie,Dream,33.85897011400523,18.53935063449232,188.06203619138722,3813.8291107611785,male,2007
Gentoo,Dream,37.93349603421632,21.344905701551127,184.35929323155133,2176.21657500411,female,2007
Adelie,Dream,42.0038242641772,21.38716161767731,220.03518756075647,4923.826659285265,male,2007
Adelie,Dream,35.3146460811615,15.814517521460514,209.2683448811299,1773.860571824828,female,2007
Adelie,Dream,31.048355715816733,17.37763709614643,191.4071567489169,4635.538575922402,male,2007
Adelie,Dream,33.618788109578205,20.96165705883589,178.21349408914298,3729.7892028834094,male,2007
Adelie,Dream,43.97006094671318,16.391909217869358,153.06624217549617,5123.177603082416,female,2007
Adelie,Dream,31.778292858207625,18.924622767784054,202.7052377080963,4303.581907505924,male,2007
Adelie,Biscoe,43.63172744264729,20.722107661038308,183.21182047566964,4943.581936230394,female,2008
Adelie,Biscoe,35.39143592687458,22.461921057648745,200.26437825559447,4580.387173210452,male,2008
Adelie,Biscoe,39.332631413108246,16.779077269786452,199.50360150587034,3447.7176260962124,female,2008
